f47a44e	2026-07-21	Muhammad Luthfi	Fix GSC sitemap indexability issues
498d529	2026-07-20	Revita	debug: log auth check details untuk investigasi 401 di round-robin-stats
b285eb1	2026-07-20	Revita	fix: update assertion verify-thankyou-flow ke desain 1 tombol CTA (commit 45db811)
2d1c679	2026-07-20	Revita	docs: update .env.example dengan UPSTASH Redis, Kommo, INTERNAL_STATS_KEY
96b9a7c	2026-07-20	Revita	chore: tambah verify:round-robin script ke verify:all (validasi konfigurasi statis)
b2d9973	2026-07-20	Revita	fix: fallback darurat pickEmergencyFallbackAgent + error handling incrementAgentLeadCount
72dabb0	2026-07-20	Revita	feat: proteksi /api/round-robin-stats & /api/kommo-comparison pakai INTERNAL_STATS_KEY
5bd122f	2026-07-20	Revita	docs: dokumentasi cookie sticky round-robin dan cara testing benar
d486d1f	2026-07-20	Revita	feat: tambah stickyServes & stickyRatePercent di round-robin-stats API
c27165b	2026-07-20	Revita	chore: tandai migration round_robin deprecated & rewrite simulate script 2 mode
72845e2	2026-07-20	Revita	fix: no-store cache header di lead-assignment API & hapus 5 dead redirect routes
c702cd6	2026-07-20	Muhammad Luthfi	fix: GSC indexing issues - block _next/static, redirect legacy URLs, fix noindex/canonical
57034a6	2026-07-19	Revita	Update FAQ question text
55e78a2	2026-07-19	Revita	Update FAQ answer for timeline
20c5c3d	2026-07-19	Revita	Remove one FAQ item
70d9e92	2026-07-19	Revita	Redesign FAQ with aesthetic dropdown styling
b27d695	2026-07-19	Revita	Change slug, add market data visualization SVG
3e7dad7	2026-07-19	Revita	Optimize internal links, restructure article layout with H3 headings, fix content escaping
6c6f3cf	2026-07-19	Revita	Add article: Peluang Bisnis Deodorant (pilar Maklon Kosmetik)
f5d1dc2	2026-07-19	Revita	Remove Jasa Maklon Kosmetik, Private Label, Panduan from Services dropdown
51e3445	2026-07-19	Revita	Make All tab show newest articles with pagination (remove dashboard clusters)
4a55d10	2026-07-19	Revita	Restructure pillars: Maklon Kosmetik, Panduan Bisnis Kosmetik, Dreampreneur Beauty Academy, Event
af530b0	2026-07-18	Revita	Restructure blog pillars: Tren Kosmetik, Dreampreneur, Tips Bisnis, Event
d87ce6d	2026-07-18	Revita	Simplify Services dropdown to 4 items (hide 5 transactional pages)
6a405d7	2026-07-18	Revita	Consolidate 12 blog categories into 4 SEO pillars
819fe1c	2026-07-18	Revita	Optimize mobile & SEO silo: overflow-x table, responsive images, 12 internal silo links
5e3a4d9	2026-07-18	Revita	Fix featured image cropping: use w-full h-auto instead of object-cover aspect-video
f1bdaaf	2026-07-18	Revita	Update article: restructure content, remove selebgram/clean beauty, add product images in bullets
6221e34	2026-07-18	Revita	New article: Rekomendasi Maklon Kosmetik Yogyakarta
b765c23	2026-07-17	Revita	CSP: tambah ad.doubleclick.net, stats.g.doubleclick.net, www.facebook.com, www.googletagmanager.com ke connect-src
dfbb2e5	2026-07-17	Muhammad Luthfi	fix: internal linking - header dropdown + cross-link batch pages
327cf4e	2026-07-17	Revita	babycare: hapus section Problem (Banyak Produk Bayi Tidak Sepenuhnya Aman)
da9688a	2026-07-17	Revita	babycare: ganti headline, hapus section peluang/stats
4ab80f6	2026-07-17	Revita	buat landing page /metaads/babycare — emotional hook, trust, BPOM/Halal
33a8757	2026-07-17	Muhammad Luthfi	expand: batch-2 content 2.3x richer - sections, checklist, FAQ, table, bullets
dd6554b	2026-07-17	Revita	hero headline: Wujudkan Brand Deodorant Dengan Custom Formula
f930736	2026-07-17	Revita	hero headline: Tren Gaya Hidup Aktif / Bangun Brand Deodorant Yang Dicari Market
