url,destination,http_status,redirect_hops,canonical,intent_similarity,historical_clicks,historical_impressions,backlinks,internal_links_still_pointing,classification,priority,recommended_action,validation_method,notes
https://dreamlab.id/maklon-parfum/,/google-ads/maklon-parfum/,308,1,missing,LOW_ADS_LANDING,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_DESTINATION_REVIEW,P0,REDIRECT_TO_RELEVANT_PAGE,"URL Inspection after change, query performance check","Critical money page redirects to ads landing page. Recommend redirect to /parfum/ or restore as standalone service page with maklon parfum content and intent."
https://dreamlab.id/maklon-face-mist/,/produk/skincare/,308,1,/produk/skincare/,LOW_TOO_GENERIC,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_DESTINATION_REVIEW,P0,REDIRECT_TO_RELEVANT_PAGE,"URL Inspection after change, check /produk/skincare/ canonical","Face mist is specific product; redirect to /produk/skincare/ loses specificity. Consider /produk/skincare/facial-toner/ or dedicated page."
https://dreamlab.id/pabrik-parfum-surabaya/,/produk/parfum/,308,1,/produk/parfum/,LOW_LOCATION_LOST,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_DESTINATION_REVIEW,P0,REDIRECT_TO_RELEVANT_PAGE,"URL Inspection, location query check","Redirect to /produk/parfum/ loses Surabaya location intent. Create or redirect to location-specific page."
https://dreamlab.id/maklon-kosmetik-jakarta-dreamlab-2026/,/maklon-jakarta-terbaik/,308,1,/maklon-jakarta-terbaik/,MEDIUM,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P1,KEEP_AND_MONITOR,"URL Inspection, content intent check","Acceptable redirect if /maklon-jakarta-terbaik/ covers same intent. Date in old URL may affect perceived freshness."
https://dreamlab.id/maklon-kosmetik-parfum-tangerang/,/maklon-kosmetik-tangerang-terpercaya/,308,1,/maklon-kosmetik-tangerang-terpercaya/,HIGH,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P1,KEEP_AND_MONITOR,"URL Inspection, content comparison","Good redirect. Both pages cover Tangerang maklon kosmetik."
https://dreamlab.id/maklon-moisturizer-bpom-dreamlab/,/produk/skincare/,308,1,/produk/skincare/,LOW_TOO_GENERIC,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_DESTINATION_REVIEW,P1,REDIRECT_TO_RELEVANT_PAGE,"URL Inspection after change","Moisturizer-specific page redirecting to generic skincare category. Consider dedicated moisturizer page."
https://dreamlab.id/category/maklon-skincare/,/category/maklon-kosmetik/,308,1,/category/maklon-kosmetik/,MEDIUM,31,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P2,KEEP_AND_MONITOR,URL Inspection,"Acceptable consolidation. Maklon skincare → Maklon kosmetik is reasonable."
https://dreamlab.id/category/bisnis-men-grooming/,/category/maklon-kosmetik/,308,1,/category/maklon-kosmetik/,LOW_INTENT_MISMATCH,unknown,5,DATA_MISSING,DATA_MISSING,REDIRECT_DESTINATION_REVIEW,P2,MANUAL_REVIEW,Content comparison,"Men grooming → Maklon kosmetik is not an exact match. Consider if dedicated category needed."
https://dreamlab.id/cms_block_cat/pop-up-form/,/,308,1,/,LOW_NO_CONTENT,unknown,unknown,DATA_MISSING,DATA_MISSING,SHOULD_BE_404,P3,RETURN_410,GSC issue count decay,"CMS block redirecting to homepage. Should return 404 or 410."
https://dreamlab.id/e-floating-buttons/popup-website/,/,308,1,/,LOW_NO_CONTENT,unknown,unknown,DATA_MISSING,DATA_MISSING,SHOULD_BE_404,P3,RETURN_410,GSC issue count decay,"Floating buttons redirect to homepage. Should 404/410."
https://dreamlab.id/flywheel-marketing-brand-skincare/,/news-blog/,308,1,/news-blog/,LOW_NO_CONTENT,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P3,KEEP_AND_MONITOR,URL Inspection,"Acceptable redirect to blog if no equivalent content exists."
https://dreamlab.id/category/dreampreneur-beauty-academy/,self,200,0,self,EXPECTED,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P2,KEEP_NOINDEX,URL Inspection,Category page with noindex tag intentional.
https://dreamlab.id/author/admin/page/5/,/author/admin/,308,1,/author/admin/,HIGH,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P3,KEEP_AND_MONITOR,URL Inspection,Pagination redirect to parent is correct.
https://dreamlab.id/author/admin/page/7/,/author/admin/,308,1,/author/admin/,HIGH,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P3,KEEP_AND_MONITOR,URL Inspection,Pagination redirect to parent is correct.
https://dreamlab.id/author/admin/page/8/,/author/admin/,308,1,/author/admin/,HIGH,unknown,unknown,DATA_MISSING,DATA_MISSING,REDIRECT_CORRECT,P3,KEEP_AND_MONITOR,URL Inspection,Pagination redirect to parent is correct.
